Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 1,LV,305,15,0.06,4.92%,,,0.89
2025-01-01,2026-01-01,FB — 1,LT,553,49,0.02,8.86%,1,,1.19
2025-01-01,2026-01-01,FB — 1,LU,33,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 1,MV,6092,240,0.02,3.94%,8,,5.37
2025-01-01,2026-01-01,FB — 1,MT,250,1,0.12,0.40%,,,0.12
2025-01-01,2026-01-01,FB — 1,MU,6796,388,0.02,5.71%,9,,8.80
2025-01-01,2026-01-01,FB — 1,MX,30193,466,0.05,1.54%,8,,23.88
2025-01-01,2026-01-01,FB — 1,MD,7330,584,0.02,7.97%,4,,13.33
2025-01-01,2026-01-01,FB — 1,ME,3339,185,0.02,5.54%,,,3.68
2025-01-01,2026-01-01,FB — 1,NL,291,2,0.06,0.69%,,,0.12
2025-01-01,2026-01-01,FB — 1,NO,20,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 1,PL,205,8,0.06,3.90%,,,0.46
2025-01-01,2026-01-01,FB — 1,PT,2179,64,0.04,2.94%,,,2.63
2025-01-01,2026-01-01,FB — 1,PR,274,5,0.06,1.82%,,,0.30
2025-01-01,2026-01-01,FB — 1,RO,7124,601,0.02,8.44%,12,,14.91
2025-01-01,2026-01-01,FB — 1,SM,6,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 1,RS,10364,680,0.02,6.56%,8,,16.12
2025-01-01,2026-01-01,FB — 1,SC,10119,140,0.01,1.38%,3,,2.09
2025-01-01,2026-01-01,FB — 1,SK,159,16,0.02,10.06%,,,0.36
2025-01-01,2026-01-01,FB — 1,SI,91,2,0.08,2.20%,,,0.16
2025-01-01,2026-01-01,FB — 1,KR,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 1,ES,2907,23,0.06,0.79%,,,1.44
2025-01-01,2026-01-01,FB — 1,SE,81,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 1,CH,219,1,0.08,0.46%,,,0.08
2025-01-01,2026-01-01,FB — 1,UA,80355,7251,0.02,9.02%,103,,152.24
2025-01-01,2026-01-01,FB — 1,GB,321,1,0.26,0.31%,,,0.26
2025-01-01,2026-01-01,FB — 1,US,414,4,0.08,0.97%,,,0.31
2025-01-01,2026-01-01,FB — 1,unknown,2,1,0.01,50.00%,,,0.01
2025-01-01,2026-01-01,FB — 10,AU,562,17,0.20,3.02%,,,3.42
2025-01-01,2026-01-01,FB — 10,CA,908,31,0.15,3.41%,,,4.67
2025-01-01,2026-01-01,FB — 10,GB,856,26,0.20,3.04%,,,5.24
2025-01-01,2026-01-01,FB — 10,US,585,24,0.15,4.10%,,,3.64
2025-01-01,2026-01-01,FB — 11,AU,2573,113,0.14,4.39%,,,15.33
2025-01-01,2026-01-01,FB — 11,CA,4530,190,0.15,4.19%,1,,27.92
2025-01-01,2026-01-01,FB — 11,GB,4885,219,0.12,4.48%,2,,26.36
2025-01-01,2026-01-01,FB — 11,US,3053,160,0.14,5.24%,,,22.68
2025-01-01,2026-01-01,FB — 12,AU,89,1,0.45,1.12%,,,0.45
2025-01-01,2026-01-01,FB — 12,CA,243,6,0.18,2.47%,,,1.08
2025-01-01,2026-01-01,FB — 12,GB,141,6,0.12,4.26%,,,0.71
2025-01-01,2026-01-01,FB — 12,US,135,3,0.28,2.22%,,,0.85
2025-01-01,2026-01-01,FB — 13,AU,30,1,0.11,3.33%,,,0.11
2025-01-01,2026-01-01,FB — 13,CA,38,0,0.00,0.00%,,,0.13
2025-01-01,2026-01-01,FB — 13,GB,9,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 13,US,12,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 14,AU,170,11,0.11,6.47%,,,1.18
2025-01-01,2026-01-01,FB — 14,AU,30,0,0.00,0.00%,,,0.19
2025-01-01,2026-01-01,FB — 14,CA,305,16,0.12,5.25%,,,1.95
2025-01-01,2026-01-01,FB — 14,CA,110,2,0.15,1.82%,,,0.29
2025-01-01,2026-01-01,FB — 14,GB,185,11,0.11,5.95%,,,1.19
2025-01-01,2026-01-01,FB — 14,GB,37,0,0.00,0.00%,,,0.13
2025-01-01,2026-01-01,FB — 14,US,129,5,0.20,3.88%,,,0.98
2025-01-01,2026-01-01,FB — 14,US,79,3,0.10,3.80%,,,0.29
2025-01-01,2026-01-01,FB — 15,AU,44,0,0.00,0.00%,,,0.23
